timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592058157605,617,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,928,354,14,14,http://localhost:8081/issues/436.json,0,0,0
1592058157638,624,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-10,,true,,511,246,14,14,http://localhost:8081/issues/434.json,0,0,0
1592058157702,596,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-9,,true,,511,246,14,14,http://localhost:8081/issues/435.json,0,0,0
1592058157834,498,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,1197,428,14,14,http://localhost:8081/issues.json,498,0,0
1592058157869,502,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,1185,163,14,14,http://localhost:8081/issues/438.json,501,0,0
1592058157905,520,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,13210,159,14,14,http://localhost:8081/issues.json,520,0,1
1592058157905,572,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,13210,159,14,14,http://localhost:8081/issues.json,572,0,1
1592058157917,582,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,1185,163,14,14,http://localhost:8081/issues/439.json,582,0,0
1592058157981,562,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,1197,428,14,14,http://localhost:8081/issues.json,562,0,0
1592058158014,565,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,1185,163,14,14,http://localhost:8081/issues/440.json,565,0,0
1592058158068,533,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,1185,163,14,14,http://localhost:8081/issues/441.json,533,0,0
1592058158113,511,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,1185,163,14,14,http://localhost:8081/issues/442.json,511,0,0
1592058158156,492,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,1185,163,14,14,http://localhost:8081/issues/443.json,492,0,0
1592058158193,485,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-2,,true,,928,354,14,14,http://localhost:8081/issues/437.json,0,0,0
1592058158222,496,DeleteIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-1,,true,,511,246,14,14,http://localhost:8081/issues/436.json,0,0,0
1592058158263,521,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,13210,159,14,14,http://localhost:8081/issues.json,521,0,0
1592058158299,545,GetListIssuesRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,13210,159,14,14,http://localhost:8081/issues.json,545,0,0
1592058158333,535,GetIssueRedmine,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,1185,163,14,14,http://localhost:8081/issues/444.json,535,0,0
1592058158371,528,UpdateIssueRedmine,204,No Content,bzm - Concurrency Thread Group-ThreadStarter 1-7,,true,,928,354,14,14,http://localhost:8081/issues/438.json,0,0,0
1592058158425,525,CreateIssueRedmine,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,1197,428,16,16,http://localhost:8081/issues.json,525,0,0
